segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
37,tiktok_under_4s_watched,1764170687.8313634,1764170689.8275142,-3140723605.180902,13353470965.413574,24006802928.272667,55584877698.112015,-98645212.5787473,-298392250503.767,61336200563.19846,35530328457.426704,8497086218.612443,10140969305.484396,-70032585251.0613,-16263117446.678228,-19040857701.10284,-16689615890.112669,-22561151298.061817,-95501459597.67291,-9688063998.697954,-7174011965.461118,2128373070.8999581,-103788996571.80988
38,tiktok_under_4s_watched,1764170690.3158257,1764170691.1556754,-65585962986.3239,-3780457830.9077234,90415627849.92061,16483544234.030478,10464461533.812162,-739819079024.5585,-162117059186.89087,10770659408.22895,-28503863248.411175,-1958094433.8609402,-11858000619.936815,-71048231665.21759,-44109351296.857925,-117929457553.89397,-13981185272.80086,3383068620.6483526,7762682841.790841,-6211868081.260095,5300736182.725723,-77712963225.60768
39,tiktok_under_4s_watched,1764170730.580716,1764170731.9829652,-25791864052.738262,3510130185.5077343,207511772162.33862,-51168385386.52894,8925885946.664366,-1174684773446.809,-59638178899.49391,5057536153.323335,-1597199573.575821,-6371763737.482244,89106564632.91524,-5417615562.16996,-106488483989.44986,-64973724831.4464,-11576737231.980347,-145353474146.63022,-4965977379.03014,-8640569476.736212,-11135571974.364344,-137540053284.06534
40,tiktok_under_4s_watched,1764170731.98691,1764170733.2017028,-8188515496.639828,52244299476.622,151202302658.57404,64783325168.89033,3455761178.4549685,-488513734502.3086,-22902668271.77067,-13128947010.670195,-12456629784.90869,-32902014388.89286,-495824583563.8727,-22378742274.929005,9645903614.793026,-4434874429.590516,-3934840799.410756,-84031197416.23735,-8281736129.761253,16293213790.969204,10823049591.433754,14759034674.348738
41,tiktok_under_4s_watched,1764170768.50263,1764170770.498809,-56941699208.771355,23556003407.335754,137209891094.44911,37873786229.56467,7950058239.196996,-392053461824.82135,-17638759540.740585,-36639108982.04183,664440845.1841992,-2320053309.491245,131771823518.78741,14843854898.681917,-24615182026.664986,-27001066703.663445,-693577095.1410847,-42294891131.14519,-4500435655.467439,-2089360249.2496762,-1094145679.1724956,-22939330419.123245
42,tiktok_under_4s_watched,1764170789.7375426,1764170791.7336757,94427795752.2054,143499402672.33798,645395941395.3705,331192054857.58453,26568464525.48442,-527797486961.90356,-59961525088.16071,-29434917387.25739,7584719149.711265,-3940183638.807475,-139183081834.97278,-28944293410.15391,-14055341899.267714,-11568630104.57603,-3614699125.3218555,19245273511.621166,-2735964153.403495,1305420294.7942154,1538219211.76265,249195415008.9213
43,tiktok_under_4s_watched,1764170793.0188162,1764170795.0150094,5066516726.224935,52506323364.76073,230278266785.07272,58270283644.70939,13275479149.502417,-527784819856.65436,-68882997121.4977,8395446521.72961,19095513564.360657,17295765457.45739,-28456525113.913082,-32334041995.50558,-60560740206.438484,-50276769738.577065,-9012477244.938185,-64510023904.45675,-4581620309.507985,6216573655.722764,-7868777861.198173,122556147584.86227
44,tiktok_under_4s_watched,1764170795.5970309,1764170796.999465,-49684469109.63965,4682078985.87703,-2164932497.5012174,69042457244.4158,1921601786.4885216,-194066090190.2439,-222828532762.3824,-48595975463.43561,7393004599.657144,-5918812646.489707,-199720309843.0806,-13219623120.959604,118332897878.80536,-27159898491.89227,-9080256195.948044,-98807298966.98682,-11192370194.277044,-13989044059.547451,-12653704404.60907,36135816740.617134
45,tiktok_under_4s_watched,1764170797.003376,1764170797.9838846,-24432430667.285378,8666872117.10243,59976277779.83388,60198639992.91729,6424477322.160711,-124816622027.31082,-210703123709.94193,7405908522.812534,-11736892678.417704,-2808250631.2289944,67163759236.67738,-19884156133.20865,-65892333795.884575,-47357613435.07449,8609382178.75529,-124505074441.16722,-4748356756.233015,-13909433282.225664,-5109099751.37848,44638664612.82771
46,tiktok_under_4s_watched,1764170802.8159697,1764170804.8159578,9356042413.13555,25485227137.661026,217128959771.79144,91841453918.54488,4520873221.950473,142465331718.1232,-62906879774.732216,-12485970890.81223,3880257534.04791,-3758090562.188682,-272843027127.31335,10609759907.756863,42225104359.211296,73594025586.70087,-6407236681.020286,-46479704055.88623,-15212970919.811161,5225263053.368562,9109129100.658567,113648998073.12198
47,tiktok_under_4s_watched,1764170804.8784685,1764170806.8745778,-13567303255.578865,-5447783148.057414,-105389645785.70815,-36425845821.4623,8540474861.989957,-51961604385.38083,43550747178.90358,-9835364267.99546,-4355398752.720999,18556327786.83192,-50845022293.57985,-3336371624.342142,53003731266.9428,-31507378575.429306,-3866526036.559415,-39637227795.55366,2328105648.622184,-16515166832.60693,-8380041062.203263,91235236658.24416
